seq,mean,std,count
17-17-17-17-17-17-17-17-17-17-17,7.156025208419767,0.18266174112283518,48
17-17-17-17-17-17-17-17-17-17-17-17,7.204074314837331,0.16022725921708159,40
17-17-17-17-17-17-17-17-17-17-17-17-17,7.245541397698025,0.14287763358492156,33
17-18,5.4332567426861305,0.13841862001726307,54
17-23,5.292574253622802,0.19501400297042032,61
17-24,5.308924813255637,0.20060737611034263,45
17-35,5.3970975124447325,0.1931574879142854,44
18,5.380330639105988,0.8330945531968863,7033
18-18,5.944872391312125,0.6103476672467835,4032
18-18-18,6.208191744267485,0.4988176287454829,2908
18-18-18-18,6.398571303697,0.4303124658273549,2150
18-18-18-18-18,6.55518825861608,0.3847788853244106,1587
18-18-18-18-18-18,6.687071450084813,0.3508778576229954,1181
18-18-18-18-18-18-18,6.7993648169076675,0.3250099321957052,888
18-18-18-18-18-18-18-18,6.905056324307975,0.30441382707099734,664
18-18-18-18-18-18-18-18-18,7.003838711346197,0.28420701711375457,499
18-18-18-18-18-18-18-18-18-18,7.089176414153748,0.2661425177829869,384
18-18-18-18-18-18-18-18-18-18-18,7.1664556191974444,0.2512627554182319,297
18-18-18-18-18-18-18-18-18-18-18-18,7.236917890569711,0.23439052194972565,234
18-18-18-18-18-18-18-18-18-18-18-18-18,7.295807353054031,0.21963711590515994,189
18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.348377165280482,0.2088358623443277,153
18-18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.4020901593146995,0.2011863900935384,120
18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.453635298215263,0.19568818024905474,93
18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.499746280854727,0.18927051030294223,74
18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.550295740908568,0.1831215001789515,57
18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.6098457743194645,0.16783378866338317,43
18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18-18,7.662580454856673,0.1515123046994715,33
18-19,5.264299495664241,0.18188856642955176,110
18-20,5.372347923034848,0.18050645410626498,37
18-30,5.445118836375464,0.1819695488034567,44
18-31,5.41176309910111,0.17385783660512028,70
18-38,5.229236525765335,0.21876215677243677,49
18-49,5.329939491209047,0.21010216517389635,74
18-57,5.241030278457122,0.15561256715247715,174
19,5.236485128773458,0.7992312555091233,2990
19-18,5.304822646880656,0.2983866224851037,211
19-18-30,5.672252486459218,0.15501095719310334,59
19-19,5.875680830888182,0.6076636974423459,1478
19-19-19,6.160836893591038,0.48743745460404053,1034
19-19-19-19,6.358271254534167,0.41238483982303437,755
19-19-19-19-19,6.508419350526157,0.35979171025565504,566
19-19-19-19-19-19,6.633832381947062,0.32013881444430237,426
19-19-19-19-19-19-19,6.739491320985717,0.29325303597916985,321
19-19-19-19-19-19-19-19,6.837357600910901,0.27116371687371027,238
19-19-19-19-19-19-19-19-19,6.92769880718838,0.24723513824522964,178
19-19-19-19-19-19-19-19-19-19,7.008065231307472,0.22273390879197494,135
19-19-19-19-19-19-19-19-19-19-19,7.073951680307527,0.20388119792000042,104
19-19-19-19-19-19-19-19-19-19-19-19,7.1342432247662915,0.1853413112168403,80
19-19-19-19-19-19-19-19-19-19-19-19-19,7.194177301484866,0.16898484509206196,60
19-19-19-19-19-19-19-19-19-19-19-19-19-19,7.260216717736103,0.154765970910748,42
19-19-19-19-19-19-19-19-19-19-19-19-19-19-19,7.310961362552913,0.1422397154921548,31
19-22,5.191451323016097,0.23589255156287667,30
19-23,5.36508602970514,0.17659738197393995,102
19-24,5.210667269941026,0.25901718606923185,89
19-30,5.314082705363794,0.1710901553133101,102
2,4.669512507706184,0.3792805949865921,439
2-11,5.319745643756015,0.20322650071126677,37
2-2,5.590426753366168,0.29740714923511935,37
20,5.122873266983702,0.8190508436463936,3996
20-18,5.415937082851459,0.21341646261146852,129
20-18-19,5.684375927073671,0.10656715795864345,31
20-20,5.909677278354286,0.5981698487217492,1723
20-20-20,6.173878204899434,0.4886228759253348,1230
20-20-20-20,6.383120325116254,0.40260894832736477,888
20-20-20-20-20,6.529906673131943,0.34822425973605325,669
20-20-20-20-20-20,6.653967292518619,0.30790337266756357,501
20-20-20-20-20-20-20,6.755971668879643,0.2747563416595724,382
20-20-20-20-20-20-20-20,6.844182325074055,0.25316003142183985,288
20-20-20-20-20-20-20-20-20,6.927495494599472,0.23201169241930727,215
20-20-20-20-20-20-20-20-20-20,7.003110088593663,0.21493357955498085,160
20-20-20-20-20-20-20-20-20-20-20,7.074438036198202,0.1982659333100804,118
20-20-20-20-20-20-20-20-20-20-20-20,7.138753135360984,0.1843205607918743,86
20-20-20-20-20-20-20-20-20-20-20-20-20,7.194844481823694,0.17868120754703443,61
20-20-20-20-20-20-20-20-20-20-20-20-20-20,7.264415459063984,0.17636542430650679,38
20-22,5.174973854550684,0.18076411624685063,53
20-23,5.312833291042073,0.1869482563912393,146
20-23-24,5.47848159797297,0.1429033362594662,63
20-23-24-49,5.695336181669672,0.13952807969539113,62
20-24,5.264515782388866,0.1750164644037814,183
20-24-19,5.727393438302073,0.6021007415283657,33
20-24-57,5.578242571428485,0.11954397038865439,97
20-30,5.3662361177250295,0.27610126191352247,76
20-35,5.328995774619054,0.17315410101228645,351
20-35-18,5.616251744416841,0.1296163088950752,177
20-35-18-57,5.807441976948256,0.10733963261862069,134
20-35-23,5.792596946950077,0.12160484260090289,42
20-35-30,5.631573976459064,0.15373252884085817,60
20-35-30-20,5.814384334079723,0.1428609956407328,57
20-35-30-20-57,5.990555159308026,0.12687722027999557,42
20-57,5.223713652265424,0.16608877607663675,130
21,5.036544060299073,0.7648249718391905,1298
21-18,5.524095657599843,0.2526334492322307,38
21-21,5.902754752888973,0.5905816053364298,454
21-21-21,6.1650527708842535,0.46803422335877376,328
21-21-21-21,6.373392249684846,0.3844645719709765,233
21-21-21-21-21,6.529273398913125,0.32008416309726895,171
21-21-21-21-21-21,6.65527240028865,0.26971890312481284,126
21-21-21-21-21-21-21,6.761517450765158,0.2311085891482822,91
21-21-21-21-21-21-21-21,6.847253778793727,0.2007074163617361,67
21-21-21-21-21-21-21-21-21,6.9342765176319485,0.17473270604547494,46
21-21-21-21-21-21-21-21-21-21,7.001426398096534,0.16087649573807614,32
21-24,5.44614387939153,0.16430698678821712,96
21-24-22,5.727948857930923,0.12070833419619685,88
21-24-22-57,5.8890872649153945,0.13301307776189888,44
21-57,5.213048617903319,0.1714196839286795,183
22,5.075822700382031,0.8562652942455651,1894
22-19,5.313017206589006,0.23827004408708674,65
22-20,5.236594501449662,0.22270098778273276,31
22-22,5.914485231210048,0.6709423771796601,771
22-22-22,6.231184800694811,0.5440557752294879,538
22-22-22-22,6.442552815312511,0.45860247340136706,402
22-22-22-22-22,6.595274361148818,0.40206963766462,312
22-22-22-22-22-22,6.728164215306621,0.3559282456428442,241
22-22-22-22-22-22-22,6.827413653054787,0.31779060013585275,195
22-22-22-22-22-22-22-22,6.909276120970999,0.2875188487617853,160
22-22-22-22-22-22-22-22-22,6.9900475913347995,0.25722761858535476,129
22-22-22-22-22-22-22-22-22-22,7.0568104779276775,0.23597466930046448,105
22-22-22-22-22-22-22-22-22-22-22,7.117875430214525,0.21876294964502116,85
22-22-22-22-22-22-22-22-22-22-22-22,7.1737226444724715,0.20287340786147962,69
22-22-22-22-22-22-22-22-22-22-22-22-22,7.223347325644494,0.1913119440820043,56
22-22-22-22-22-22-22-22-22-22-22-22-22-22,7.2768158565003995,0.1833780406446028,43
22-22-22-22-22-22-22-22-22-22-22-22-22-22-22,7.334183478727917,0.17530604094446264,32
22-31,5.291617596587139,0.235084978402268,142
22-31-18,5.76772429230818,0.20381784741865666,47
22-31-20,5.536677439694855,0.1981730102587248,49
22-46,5.175877341610704,0.25825952557491677,45
23,5.176436667168537,0.726500186296452,2846
23-20,5.269044631799742,0.20146237143072135,118
23-20-57,5.598987391996923,0.17666217344452737,43
23-23,5.915108671567826,0.5763733543461657,1082
23-23-23,6.1762949347164255,0.4625235542836463,766
