seq,mean_x,std_x,count_x,mean_y,std_y,count_y,pvalue
E-M,5.141580622589336,0.18846985985809753,52,5.068107017292367,0.1484817569633181,35,0.04580922684148152
E-N,5.181303970866153,0.2098717037176899,159,5.094080531458912,0.16473072881751533,154,5.3963145649336184e-05
E-O,4.9318828877251635,0.22145959596034404,28,4.969012125447233,0.20016085813906934,21,0.5424330240747907
E-R,5.1290364944401725,0.2805520552762634,773,5.172259733549206,0.2515052826383465,507,0.0041601993078125695
E-R-SPACE,5.541755809629462,0.08277668966288244,169,5.431474213265129,0.14763167233055743,54,1.9727115316375666e-06
E-S,5.26403698117737,0.29822559359426787,345,5.27007693502062,0.3055047186434225,86,0.8693521228248411
E-SPACE,5.200330069761645,0.2240535648373199,808,5.0857420305396115,0.1762422866476823,448,1.4029116856864357e-22
E-T,5.085549232470093,0.17905991175067879,135,5.234331467267659,0.32466972236596453,55,0.0020559817058092
E-Y,5.013693256409474,0.19306651287989177,56,5.062413642736149,0.16885496002376255,22,0.27734215547060265
F-A,5.377153562500889,0.11603009285934823,26,5.2854903681206595,0.1964457875849365,33,0.029876201739916293
F-I,5.129312773577596,0.18723162445687136,39,5.087875538986637,0.15305066402765874,33,0.3051043923427914
F-O,5.108518456633071,0.18627974418203938,75,5.043362099032658,0.1833764575428129,76,0.03192501308534697
F-SPACE,5.218493505472797,0.13208275981676276,185,5.086064885345101,0.12937317049322514,87,5.0749146951236e-13
G-E,5.295028257997237,0.1215359159606053,60,5.15738118827942,0.22926268373689682,38,0.0012876198029747768
G-H,5.082217727767208,0.22925863605286792,63,5.031295728318519,0.14013804326382837,28,0.19751932169350078
G-O,5.092365641756182,0.3515411461196611,46,5.005312115257564,0.15433579196749894,23,0.15831070305914707
G-SPACE,5.180226556499566,0.14058909099129197,124,5.071029244003387,0.13326762385660143,37,5.784321676733714e-05
H-A,5.273225953566625,0.2038473417931416,138,5.023354429710397,0.2372802206444668,237,2.7191357819681584e-23
H-A-T,5.378313633762561,0.14649168522613537,53,5.443675576057234,0.14838066073147108,29,0.06041543144731767
H-E,5.160359272969947,0.170906722106639,213,5.036624116124158,0.18323589696040254,226,1.1961863570725533e-12
